indicator_id,dataset_id
I1001,D0005
I1003,D0040
I1004,D0013
I1004,D0040
I1004,D0071
I1004,D0088
I1005,D0071
I1005,D0076
I1005,D0088
I1006,D0013
I1006,D0036
I1006,D0071
I1006,D0088
I1008,D0013
I1008,D0026
I1008,D0071
I1008,D0088
I1010,D0013
I1010,D0071
I1013,D0027
I1013,D0072
I1014,D0035
I1014,D0072
I1016,D0025
I1020,D0071
I1021,D0012
I1025,D0012
I1025,D0071
I1028,D0089
I1030,D0017
I1039,D0005
I1039,D0011
I1039,D0012
I1040,D0011
I1040,D0088
I1043,D0040
I1043,D0040
I1043,D0049
I1043,D0077
I1044,D0004
I1044,D0090
I1045,D0051
I1045,D0052
I1045,D0058
I1045,D0059
I1045,D0061
I1045,D0062
I1045,D0063
I1045,D0064
I1045,D0065
I1045,D0091
I1046,D0043
I1046,D0044
I1048,D0003
I1048,D0018
I1052,D0008
I1052,D0047
I1053,D0015
I1053,D0032
I1056,D0012
I1057,D0015
I1057,D0033
I1058,D0040
I1059,D0073
I1059,D0074
I1059,D0075
I1059,D0087
I1074,D0086
I1075,D0078
I1075,D0079
I1078,D0080
I1079,D0081
I1080,D0080
I1081,D0018
I1081,D0082
I1081,D0092
I1081,D0093
I1081,D0094
I1082,D0094
I1084,D0029
I1085,D0080
I1085,D0083
I1085,D0084
I1087,D0029
I1088,D0080
I1090,D0080
I1091,D0080
I1092,D0080
I1095,D0040
I1097,D0040
I1100,D0085
